date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:24:22	60358/60358	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202022%2006:54:21%20GMT	https://www.momint.so/learn-about-nfts	C:/My%20Web%20Sites/the%20nft%20academy/www.momint.so/learn-about-nfts.html	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:22	27994/27994	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202022%2006:54:22%20GMT	https://www.momint.so/post/what-nfts-are?gclid=Cj0KCQiA8ICOBhDmARIsAEGI6o3l5ePJR0sjBlJY3fkoDV0MniTy1rAmPhH9K6Bv-Rj8MbozQaVRyzUaApb3EALw_wcB	C:/My%20Web%20Sites/the%20nft%20academy/www.momint.so/post/what-nfts-aree111.html	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:27	18372/18372	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202022%2006:54:22%20GMT	https://www.momint.so/post/how-to-make-an-nft-on-momint	C:/My%20Web%20Sites/the%20nft%20academy/www.momint.so/post/how-to-make-an-nft-on-momint.html	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:27	27368/27368	---M--	200	added ('OK')	image/jpeg	etag:%22311960c0c6b4fb2a3399db12ba58e8f7%22	https://uploads-ssl.webflow.com/60d20a9aba3beb41d6adfa71/622729f874681874a9ae94b8_how%20to%20mint%20an%20nft%20momint%20(1).jpg	C:/My%20Web%20Sites/the%20nft%20academy/uploads-ssl.webflow.com/60d20a9aba3beb41d6adfa71/622729f874681874a9ae94b8_how%20to%20mint%20an%20nft%20momint%20(1).jpg	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:29	40916/40916	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202022%2006:54:27%20GMT	https://www.momint.so/post/what-do-nfts-mean-for-gaming	C:/My%20Web%20Sites/the%20nft%20academy/www.momint.so/post/what-do-nfts-mean-for-gaming.html	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:37	41741/41741	---M--	200	added ('OK')	image/jpeg	etag:%2273ca3ebb5f15c1511c5c8c342b28669d%22	https://uploads-ssl.webflow.com/60d20a9aba3beb41d6adfa71/6225f7c5e8010d162a528d1f_gaming%20and%20nfts%20(1).jpeg	C:/My%20Web%20Sites/the%20nft%20academy/uploads-ssl.webflow.com/60d20a9aba3beb41d6adfa71/6225f7c5e8010d162a528d1f_gaming%20and%20nfts%20(1).jpg	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:43	27026/27026	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202022%2006:54:38%20GMT	https://www.momint.so/post/how-to-create-nfts-without-gas-fees	C:/My%20Web%20Sites/the%20nft%20academy/www.momint.so/post/how-to-create-nfts-without-gas-fees.html	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:43	24759/24759	---M--	200	added ('OK')	image/jpeg	etag:%22a436ca06e1b372815825e7f3d64c3e3b%22	https://uploads-ssl.webflow.com/60d20a9aba3beb41d6adfa71/6227291a6ee3f319c2269f15_avoid%20gas%20fees%20on%20nfts%20(1).jpg	C:/My%20Web%20Sites/the%20nft%20academy/uploads-ssl.webflow.com/60d20a9aba3beb41d6adfa71/6227291a6ee3f319c2269f15_avoid%20gas%20fees%20on%20nfts%20(1).jpg	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:44	35181/35181	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202022%2006:54:43%20GMT	https://www.momint.so/post/learn-about-ethereum	C:/My%20Web%20Sites/the%20nft%20academy/www.momint.so/post/learn-about-ethereum.html	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
12:24:44	32899/32899	---M--	200	added ('OK')	image/jpeg	etag:%224dabc835d6719ab0ee8d9fe7db064c15%22	https://uploads-ssl.webflow.com/60d20a9aba3beb41d6adfa71/622727dd604e64063ffac18b_all%20about%20eth%20(1).jpg	C:/My%20Web%20Sites/the%20nft%20academy/uploads-ssl.webflow.com/60d20a9aba3beb41d6adfa71/622727dd604e64063ffac18b_all%20about%20eth%20(1).jpg	(from https://www.momint.so/learn-about-nfts?utm_source=Google+Search+Ad&utm_medium=CPC&utm_campaign=Search+Ad+%7C+What+Are+NFTs+(India))
